2016,2017,2018,2019,2020,2021,2022,2023
50.1,49.9,49.1,52.3,50.6,49.6,49.4,48.1
49.9,50.1,50.9,47.7,49.4,50.4,50.6,51.9
8.5,9.1,11.8,7.0,13.8,9.1,9.0,9.2
14.6,14.9,14.9,13.1,16.5,15.9,15.4,15.3
36.8,33.3,32.2,28.9,29.8,31.2,29.3,28.1
40.1,42.8,41.2,51.0,39.9,43.8,46.3,47.4
28.1,30.5,28.6,29.3,28.1,30.5,30.1,30.3
29.5,26.7,27.2,26.3,25.3,24.6,25.5,24.5
42.3,42.8,44.2,44.3,46.6,44.9,44.4,45.3
25.2,26.4,26.3,24.9,21.0,22.0,21.6,22.3
74.8,73.6,73.7,75.1,79.0,78.0,78.4,77.7
33.9,27.1,23.4,23.7,25.2,21.8,22.4,24.7
53.0,55.6,56.3,54.7,54.1,51.6,52.9,50.8
13.1,17.3,20.3,21.6,20.7,26.6,24.6,24.5
45.1,44.4,46.0,47.6,48.0,49.3,46.0,43.5
54.9,55.6,54.0,52.4,52.0,50.7,54.0,56.5
16.9,18.2,15.7,20.4,17.0,22.4,17.2,19.5
20.4,23.2,24.7,22.7,22.6,25.2,23.8,22.3
45.2,42.5,40.6,38.4,37.1,36.4,38.7,36.9
17.5,16.1,19.0,18.5,23.3,16.1,20.3,21.3
27.8,27.5,28.5,25.9,26.1,26.7,28.0,28.0
31.3,30.9,30.8,28.6,29.0,26.0,30.3,26.9
40.9,41.6,40.7,45.5,44.9,47.3,41.7,45.0
25.5,26.7,27.7,24.1,22.7,23.2,22.0,22.8
74.5,73.3,72.3,75.9,77.3,76.8,78.0,77.2
30.4,22.9,21.4,18.7,20.4,16.2,14.7,18.8
53.8,56.4,56.9,55.0,54.9,51.8,52.1,51.8
15.8,20.7,21.8,26.3,24.6,32.0,33.2,29.5
52.9,43.0,47.8,50.9,41.4,42.2,46.2,51.5
47.1,57.0,52.2,49.1,58.6,57.8,53.8,48.5
11.6,8.2,12.4,19.0,6.5,11.3,19.2,16.7
20.0,22.9,20.2,13.9,22.8,21.8,22.0,23.9
42.6,42.1,37.5,31.1,39.3,37.7,35.7,35.8
25.8,26.7,29.9,36.0,31.3,29.2,23.1,23.5
28.9,33.7,31.5,29.1,37.7,32.4,29.5,28.4
31.8,29.5,28.5,23.8,25.2,27.1,26.9,27.6
39.3,36.8,40.0,47.1,37.1,40.5,43.7,44.1
27.5,30.0,29.6,30.5,25.5,24.0,24.6,22.6
72.5,70.0,70.4,69.5,74.5,76.0,75.4,77.4
31.9,27.2,23.8,28.3,26.1,19.5,17.8,20.4
52.8,56.4,56.0,52.0,52.9,51.6,51.4,49.0
15.3,16.3,20.2,19.7,21.0,28.9,30.8,30.7
47.4,49.2,51.3,44.6,41.6,40.3,45.1,46.3
52.6,50.8,48.7,55.4,58.4,59.7,54.9,53.7
12.2,17.4,17.6,8.6,21.1,15.9,14.3,13.2
15.8,13.9,12.2,16.2,18.6,37.3,26.6,25.9
36.9,34.9,29.2,33.7,28.2,25.9,30.6,35.9
35.1,33.9,41.0,41.5,32.2,20.8,28.5,24.9
30.6,29.6,29.7,37.5,25.9,28.8,29.9,28.2
25.0,22.9,20.1,21.5,25.5,23.6,26.6,29.5
44.5,47.5,50.2,41.0,48.5,47.6,43.5,42.3
39.0,34.2,41.4,40.1,26.8,34.8,28.5,21.4
61.0,65.8,58.6,59.9,73.2,65.2,71.5,78.6
50.2,32.5,29.8,32.1,33.5,23.9,21.8,24.1
39.5,50.8,54.9,54.5,50.3,55.2,53.3,47.8
10.3,16.7,15.3,13.4,16.2,21.0,24.9,28.1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,

